qvalues
---------------
State_key(percent_of_class=3, duration=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.019425993572155895 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 0 -0.021727599000608604 
State_key(percent_of_class=3, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.005910048517555722 
State_key(percent_of_class=2, duration=7, bytes_server=6, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.01953852241830974 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 1 0.017833419010279863 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 0.0016000674644267067 
State_key(percent_of_class=3, duration=2, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 1 0.02112777241830974 
State_key(percent_of_class=3, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 -9.929685948465881e-06 
State_key(percent_of_class=3, duration=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 1 0.0014936474183097407 
State_key(percent_of_class=3, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.017994729380791705 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.004549208009314318 
State_key(percent_of_class=2, duration=0, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0 -0.0013134867040240272 
State_key(percent_of_class=2, duration=2, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.004944738327400651 
State_key(percent_of_class=3, duration=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 0.0013952551547289954 
State_key(percent_of_class=3, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.006559183132595456 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 0 -0.021741817872855194 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 0 -0.018928748608785934 
State_key(percent_of_class=3, duration=4, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 0 -0.007016678668309741 
State_key(percent_of_class=2, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.002235856667393994 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0 -0.0020347962686872298 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 1 0.02175356606910339 
State_key(percent_of_class=3, duration=2, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0 -0.018269390065368565 
State_key(percent_of_class=2, duration=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.01726737705672688 
State_key(percent_of_class=3, duration=1, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.021311765065368565 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.00485308491830974 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0 -0.021068574318615318 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 1 0.021330560879848203 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 1 0.007059749181130253 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 1 -0.0006984775816902581 
State_key(percent_of_class=2, duration=1, bytes_server=3, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 1 0.00568552241830974 
State_key(percent_of_class=2, duration=2, bytes_server=1, ppi_duration=2, ppi_percent_duration=0, centroid_size=1) 0 -0.005878064379683613 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0 -0.004503816574938136 
State_key(percent_of_class=3, duration=4, bytes_server=0, ppi_duration=3, ppi_percent_duration=0, centroid_size=2) 0 -0.004149008338639411 
State_key(percent_of_class=2, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.020439175644116195 
State_key(percent_of_class=2, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.021515426519729028 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.003843383401412661 
State_key(percent_of_class=3, duration=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.0018683036683097428 
State_key(percent_of_class=2, duration=2, bytes_server=5, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.006325680014745565 
State_key(percent_of_class=3, duration=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.00152994590141266 
State_key(percent_of_class=3, duration=4, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.0022329509897383126 
State_key(percent_of_class=2, duration=3, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.018838050644116193 
State_key(percent_of_class=3, duration=2, bytes_server=1, ppi_duration=2, ppi_percent_duration=0, centroid_size=1) 0 -0.0197394152754526 
State_key(percent_of_class=2, duration=2, bytes_server=3, ppi_duration=3, ppi_percent_duration=0, centroid_size=1) 0 -0.005213113327400652 
