qvalues
---------------
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.03583114074717158 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 1 0.03777019781913187 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.023216669031605824 
State_key(percent_of_class=2, duration=7, percent_duration=0, bytes_client=3, bytes_server=6, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.03594366959332543 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=2, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 1 0.03423856618529555 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.01563354448692418 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 0 -0.025542899707607085 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=1, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 1 0.03753291959332542 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.017976853072991704 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 1 0.017898794593325426 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.03439987655580739 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.02177461254308079 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.017718633879039714 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.017331169593325427 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=2, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.021349885502416337 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.01584426480686466 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 1 0.03814696504787088 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=3) 0 -0.03533389578380162 
State_key(percent_of_class=3, duration=4, percent_duration=0, bytes_client=3, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 1 0.023421825843325427 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=0, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.01864100384240968 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.015706669593325426 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0 -0.018439943443702915 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0 -0.038158713244119076 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=2, bytes_server=2, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0 -0.034674537240384246 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.033672524231742565 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.03771691224038425 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=3, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0 -0.037473721493631 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=2) 1 0.02346489635614594 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 1 0.015706669593325426 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=3, ppi_duration=1, ppi_percent_duration=2, centroid_size=1) 0 -0.022090669593325427 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=2, ppi_percent_duration=0, centroid_size=1) 1 0.022109669593325425 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=1) 1 0.020908963749953824 
State_key(percent_of_class=3, duration=4, percent_duration=0, bytes_client=2, bytes_server=0, ppi_duration=3, ppi_percent_duration=0, centroid_size=2) 1 0.0205541555136551 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.03684432281913188 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.036960799057611134 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=0, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.023324114464287858 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=0, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.020248530576428347 
State_key(percent_of_class=3, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.019431908917147543 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=3, bytes_server=5, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.02273082718976125 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.01793509307642835 
State_key(percent_of_class=3, duration=4, percent_duration=0, bytes_client=3, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 0 -0.018638098164753997 
State_key(percent_of_class=2, duration=3, percent_duration=0, bytes_client=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.03524319781913188 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=2, ppi_percent_duration=0, centroid_size=1) 1 0.036144562450468286 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=2, bytes_server=3, ppi_duration=3, ppi_percent_duration=0, centroid_size=1) 0 -0.021618260502416334 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=2) 1 0.020065313605563188 
State_key(percent_of_class=2, duration=0, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 0 -0.036788302789292904 
State_key(percent_of_class=2, duration=1, percent_duration=3, bytes_client=1, bytes_server=3, ppi_duration=1, ppi_percent_duration=1, centroid_size=1) 1 0.035794419593325424 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.03553180930605834 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=2, bytes_server=4, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 1 0.020215437450468283 
State_key(percent_of_class=3, duration=2, percent_duration=2, bytes_client=2, bytes_server=3, ppi_duration=0, ppi_percent_duration=2, centroid_size=2) 0 -0.017431947243095013 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=1, bytes_server=1, ppi_duration=1, ppi_percent_duration=1, centroid_size=1) 1 0.035175017627766474 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=2, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=3) 1 0.023423362385827044 
State_key(percent_of_class=3, duration=1, percent_duration=3, bytes_client=1, bytes_server=1, ppi_duration=0, ppi_percent_duration=2, centroid_size=1) 1 0.03561875674318537 
State_key(percent_of_class=2, duration=2, percent_duration=2, bytes_client=2, bytes_server=3, ppi_duration=1, ppi_percent_duration=0, centroid_size=3) 1 0.02297416959332543 
