qvalues
---------------
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=1, bytes_server=1, ppi_duration=0) 0.07828850228163926 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=1, bytes_server=0, ppi_duration=0) 0.0692201434566593 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) 0.04308138799063803 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=2, bytes_server=2, ppi_duration=0) 0.07431458114973047 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=1, bytes_server=2, ppi_duration=0) 0.09673262551977257 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=1, bytes_server=2, ppi_duration=0) 0.08036627321626648 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=1, bytes_server=0, ppi_duration=0) 0.04241508129151572 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=2, bytes_server=1, ppi_duration=1) 0.043255481419976455 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=1, bytes_server=1, ppi_duration=1) 0.007826134823825423 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=2, bytes_server=1, ppi_duration=1) 0.030820379738229445 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=1, bytes_server=3, ppi_duration=0) 0.016280881289585908 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=0, bytes_server=1, ppi_duration=0) 0.06621610272265094 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=4, bytes_client=2, bytes_server=0, ppi_duration=3) 0.05186612824393382 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=1, bytes_server=1, ppi_duration=1) 0.011695952719858085 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=7, bytes_client=1, bytes_server=1, ppi_duration=5) 0.07267405223625413 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=2, bytes_server=3, ppi_duration=1) 0.04460549448452114 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=6, bytes_client=2, bytes_server=1, ppi_duration=3) 0.10578626754224849 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=1, bytes_server=1, ppi_duration=0) 0.0231889630404504 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=2, bytes_server=1, ppi_duration=0) 0.02492233967578926 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=2, bytes_server=3, ppi_duration=0) 0.015996120779667784 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=2, bytes_server=4, ppi_duration=0) 0.03972790410480849 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=0, bytes_server=0, ppi_duration=1) 0.09124622579226747 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=3, bytes_client=2, bytes_server=1, ppi_duration=0) 0.08056723402409008 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=3, bytes_server=4, ppi_duration=1) 0.03274836887297307 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=2, bytes_server=1, ppi_duration=2) 0.03230324538089113 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=4, bytes_server=2, ppi_duration=1) 0.078488694615027 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=3, bytes_server=1, ppi_duration=0) 0.0036758168778354156 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=3, bytes_server=4, ppi_duration=0) 0.011234423871716729 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=3, bytes_server=1, ppi_duration=3) -0.00042352215766936906 
rewards
---------------
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=1, bytes_server=1, ppi_duration=0) 0.006809482128193789 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=1, bytes_server=0, ppi_duration=0) -0.0043036835877846204 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) -0.015898085406305003 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=2, bytes_server=2, ppi_duration=0) 0.019130452119508368 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=1, bytes_server=2, ppi_duration=0) 0.02735457135317585 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=0, bytes_client=1, bytes_server=2, ppi_duration=0) 0.02500158461936835 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=1, bytes_server=0, ppi_duration=0) -0.01565695786903725 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=2, bytes_server=1, ppi_duration=1) -0.013517350938855293 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=2, bytes_client=1, bytes_server=1, ppi_duration=1) -0.015057891154963256 
State_key(duration=0, bytes_client=0, bytes_server=0, ppi_duration=0) State_key(duration=1, bytes_client=2, bytes_server=1, ppi_duration=1) -0.009937896032694887 
